fitzpatrick_scale,three_partition_label,label,local_filename,md5hash,fitzpatrick_centaur,nine_partition_label,qc,url,url_alphanum
2,non-neoplastic,photodermatoses,fitzpatrick_images\phototoxic-eruption9.jpg,da850b2a8ffb6da0605ee8ec6b384049,2.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phototoxic-eruption/phototoxic-eruption9.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphototoxiceruptionphototoxiceruption9jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\phototoxic-eruption6.jpg,bee8a7706ec0ee52bdcfddb62ad05403,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phototoxic-eruption/phototoxic-eruption6.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphototoxiceruptionphototoxiceruption6jpg.jpg
4,non-neoplastic,photodermatoses,fitzpatrick_images\actinic_prurigo7.jpg,f8f4f4a8492f4d6280877d27bf8a18c0,4.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_prurigo/actinic_prurigo7.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinicprurigoactinicprurigo7jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\phytophotodermatitis57.jpg,9027ad2da04a7b93ca8398e828bd35b1,3.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis57.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphytophotodermatitisphytophotodermatitis57jpg.jpg
1,non-neoplastic,photodermatoses,fitzpatrick_images\polymorphic_light_eruption57.jpg,9b39946ab9e5ece02a490893fd88ae90,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/polymorphic_light_eruption/polymorphic_light_eruption57.jpg,httpwwwdermaamincomsiteimagesclinicalpicppolymorphiclighteruptionpolymorphiclighteruption57jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\phytophotodermatitis51.jpg,2f127e14c3834c229c6e996e5cfe1e78,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis51.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphytophotodermatitisphytophotodermatitis51jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\actinic_prurigo16.jpg,8bb187afabb9190d05464d9de88f4378,2.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_prurigo/actinic_prurigo16.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinicprurigoactinicprurigo16jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\phytophotodermatitis2.jpg,edce3ceb6a58f25722a74bb1fb803b3f,2.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis2.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphytophotodermatitisphytophotodermatitis2jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\photoallergiccontact-dermatitis1.jpg,567702589f8b077546df1e08c6ba66a9,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/photoallergiccontact-dermatitis/photoallergiccontact-dermatitis1.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphotoallergiccontactdermatitisphotoallergiccontactdermatitis1jpg.jpg
2,non-neoplastic,photodermatoses,fitzpatrick_images\phototoxic-eruption13.jpg,8908998cd14c112dda79e4d0f6c9fee7,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phototoxic-eruption/phototoxic-eruption13.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphototoxiceruptionphototoxiceruption13jpg.jpg
5,non-neoplastic,photodermatoses,fitzpatrick_images\drug_eruption_photosensitivity4.jpg,4761297162f15f038cd318fc06c9b916,4.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption_photosensitivity/drug_eruption_photosensitivity4.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptionphotosensitivitydrugeruptionphotosensitivity4jpg.jpg
1,non-neoplastic,photodermatoses,fitzpatrick_images\polymorphic_light_eruption26.jpg,164a3c9fcd15b2c52ea055be4193d36c,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/polymorphic_light_eruption/polymorphic_light_eruption26.jpg,httpwwwdermaamincomsiteimagesclinicalpicppolymorphiclighteruptionpolymorphiclighteruption26jpg.jpg
1,non-neoplastic,photodermatoses,fitzpatrick_images\phytophotodermatitis7.jpg,f0d945c07a185e02b3d3dddefecd86dd,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis7.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphytophotodermatitisphytophotodermatitis7jpg.jpg
4,non-neoplastic,photodermatoses,fitzpatrick_images\actinic_prurigo1.jpg,19e54d616e1a466c85e7f0ad1f2a8fad,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_prurigo/actinic_prurigo1.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinicprurigoactinicprurigo1jpg.jpg
1,non-neoplastic,photodermatoses,fitzpatrick_images\polycyclic-lesion1.jpg,e0c47c157f31fbc647d4a3d92b4e4d9b,1.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/polycyclic-lesion/polycyclic-lesion1.jpg,httpwwwdermaamincomsiteimagesclinicalpicppolycycliclesionpolycycliclesion1jpg.jpg
1,non-neoplastic,photodermatoses,fitzpatrick_images\phototoxic-eruption11.jpg,00cc289e22c8eebc1a5a82d29ad20065,2.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/phototoxic-eruption/phototoxic-eruption11.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphototoxiceruptionphototoxiceruption11jpg.jpg
3,non-neoplastic,photodermatoses,fitzpatrick_images\photodermatitis4.jpg,344a8714eda263681b9f2b1dd7765b58,2.0,inflammatory,,https://www.dermaamin.com/site/images/clinical-pic/p/photodermatitis/photodermatitis4.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphotodermatitisphotodermatitis4jpg.jpg
